Security Domain,Control,Implementation,Compliance Standard,Priority
Identity & Access,Voice Biometric Authentication,Multi-modal voiceprint analysis with liveness detection,"GDPR Art. 32, Hungarian Data Protection Act",Critical
Identity & Access,Multi-Factor Authentication,Integration with Ügyfélkapu + SMS/TOTP,"eIDAS Regulation, GDPR",Critical
Identity & Access,Session Management,"JWT tokens with 15-minute expiry, refresh token rotation",OWASP Session Management,High
Identity & Access,Role-Based Access Control,Granular permissions based on NAV service types,"ISO 27001, NIST SP 800-53",High
Data Protection,Encryption at Rest,AES-256-GCM for database and voice recordings,"GDPR Art. 32, FIPS 140-2",Critical
Data Protection,Encryption in Transit,TLS 1.3 with perfect forward secrecy,"PCI DSS 4.0, NIST SP 800-52r2",Critical
Data Protection,Voice Data Anonymization,"PII removal, voice pattern hashing","GDPR Art. 5, Hungarian DPA Guidelines",High
Data Protection,Key Management,AWS KMS / Azure Key Vault with HSM backing,FIPS 140-2 Level 3,Critical
Network Security,Web Application Firewall,"OWASP Top 10 protection, DDoS mitigation",ISO 27001 A.13.1,High
Network Security,Network Segmentation,"VPC isolation, private subnets for application tier",NIST SP 800-41,High
Network Security,Intrusion Detection/Prevention,"Real-time threat detection, automated response",ISO 27001 A.12.6,Medium
API Security,OAuth 2.0 / OIDC,Authorization code flow with PKCE,"OAuth 2.0 RFC 6749, OIDC Core",Critical
API Security,Rate Limiting,"100 requests/minute per user, adaptive throttling",OWASP API Security,High
API Security,Input Validation,"Strict schema validation, sanitization",OWASP API Security Top 10,Critical
API Security,API Gateway Authentication,"Token validation, request signing",NIST SP 800-63B,Critical
Compliance & Audit,Audit Logging,Comprehensive logging to centralized SIEM,"GDPR Art. 30, Hungarian Tax Act",Critical
Compliance & Audit,Data Retention Policy,8-year retention for tax data per Hungarian law,Hungarian Tax Administration Act,Critical
Compliance & Audit,Privacy Impact Assessment,Annual PIA for voice processing,GDPR Art. 35,High
Compliance & Audit,Penetration Testing,"Quarterly external testing, annual red team",ISO 27001 A.12.6,High
Voice Processing,Speech Recognition Security,"On-premise processing, no third-party transmission","GDPR Art. 28, Data Processor Agreement",Critical
Voice Processing,Noise Cancellation,Advanced DSP to prevent audio attacks,Security by Design principle,Medium
Voice Processing,Anti-Spoofing,"Liveness detection, replay attack prevention",NIST Biometric Standards,Critical
Incident Response,Security Monitoring,"24/7 SOC, automated alerting",ISO 27001 A.16,Critical
Incident Response,Incident Response Plan,"Documented procedures, quarterly drills","GDPR Art. 33, ISO 27035",High
Incident Response,Breach Notification,72-hour notification to NAIH (Hungarian DPA),GDPR Art. 33-34,Critical
